text,tag
"The dog ate the apple","DET NN V DET NN"
"Everybody read the book","PRP V DET NN"
"The dog ate the apple","DET NN V DET NN"
"Everybody read the book","PRP V DET NN"
"The dog ate the apple","DET NN V DET NN"
"Everybody read the book","PRP V DET NN"
"The dog ate the apple","DET NN V DET NN"
"Everybody read the book","PRP V DET NN"
"The dog ate the apple","DET NN V DET NN"
"The dog ate the apple","DET NN V DET NN"
"Everybody read the book","PRP V DET NN"
"The dog ate the apple","DET NN V DET NN"
"Everybody read the book","PRP V DET NN"
"The dog ate the apple","DET NN V DET NN"
"Everybody read the book","PRP V DET NN"
"The dog ate the apple","DET NN V DET NN"
"Everybody read the book","PRP V DET NN"
"The dog ate the apple","DET NN V DET NN"
"The dog ate the apple","DET NN V DET NN"
"Everybody read the book","PRP V DET NN"
"The dog ate the book","DET NN V DET NN"
"Everybody read the book","PRP V DET NN"
"The dog ate the apple","DET NN V DET NN"
"Everybody read the book","PRP V DET NN"
"The dog ate the apple","DET NN V DET NN"
"Everybody read the book","PRP V DET NN"
"The dog ate the apple","DET NN V DET NN"
"Everybody read the book","PRP V DET NN"

